word,parent,count,portion
cat_love,cat_love,325,0.8084577114427861
cat_country,cat_country,152,0.3781094527363184
cat_curse,cat_curse,116,0.2885572139303483
cat_body parts,cat_body parts,224,0.5572139303482587
cat_music,cat_music,182,0.4527363184079602
cat_alcohol,cat_alcohol,235,0.5845771144278606
cat_religion,cat_religion,135,0.3358208955223881
cat_vehicle,cat_vehicle,127,0.31592039800995025
cat_locations,cat_locations,58,0.14427860696517414
cat_clothes,cat_clothes,103,0.2562189054726368
love,love,168,0.417910447761194
diamond,love,15,0.03731343283582089
mood,love,1,0.0024875621890547263
baby,love,134,0.3333333333333333
babe,love,19,0.0472636815920398
heart,love,100,0.24875621890547264
crush,love,2,0.004975124378109453
country,country,37,0.09203980099502487
hell,curse,77,0.19154228855721392
town,country,82,0.20398009950248755
eyes,body parts,95,0.236318407960199
song,music,70,0.17412935323383086
whiskey,alcohol,50,0.12437810945273632
whisky,alcohol,0,0.0
kiss,love,60,0.14925373134328357
beer,alcohol,38,0.0945273631840796
god,religion,42,0.1044776119402985
sunday,religion,24,0.05970149253731343
drinkin,alcohol,30,0.07462686567164178
road,country,56,0.13930348258706468
drink,alcohol,53,0.1318407960199005
bar,alcohol,53,0.1318407960199005
honky,alcohol,10,0.024875621890547265
sixer,alcohol,1,0.0024875621890547263
truck,vehicle,38,0.0945273631840796
drive,vehicle,30,0.07462686567164178
drivin,vehicle,7,0.017412935323383085
driving,vehicle,5,0.012437810945273632
trucks,vehicle,9,0.022388059701492536
car,vehicle,30,0.07462686567164178
cars,vehicle,5,0.012437810945273632
damn,curse,47,0.11691542288557213
heaven,religion,30,0.07462686567164178
party,alcohol,27,0.06716417910447761
dance,love,35,0.08706467661691543
church,religion,28,0.06965174129353234
lips,body parts,35,0.08706467661691543
bottle,alcohol,24,0.05970149253731343
neon,alcohol,34,0.0845771144278607
wine,alcohol,25,0.06218905472636816
hallelujah,religion,7,0.017412935323383085
loved,love,21,0.05223880597014925
tequila,alcohol,13,0.03233830845771144
shot,alcohol,22,0.05472636815920398
mercy,religion,4,0.009950248756218905
hearts,love,21,0.05223880597014925
hands,body parts,30,0.07462686567164178
feet,body parts,22,0.05472636815920398
heartbreak,love,9,0.022388059701492536
praise,religion,2,0.004975124378109453
hometown,country,14,0.03482587064676617
cowboy,country,8,0.01990049751243781
cowboys,country,5,0.012437810945273632
amen,religion,7,0.017412935323383085
amens,religion,0,0.0
faith,religion,14,0.03482587064676617
drinking,alcohol,17,0.04228855721393035
drunk,alcohol,36,0.08955223880597014
beers,alcohol,9,0.022388059701492536
buzz,alcohol,10,0.024875621890547265
sip,alcohol,16,0.03980099502487562
drinks,alcohol,13,0.03233830845771144
lovin,love,9,0.022388059701492536
loving,love,12,0.029850746268656716
huntin,love,2,0.004975124378109453
hunting,love,1,0.0024875621890547263
fishin,love,5,0.012437810945273632
fishing,love,3,0.007462686567164179
knees,body parts,12,0.029850746268656716
hand,body parts,62,0.15422885572139303
train,vehicle,11,0.02736318407960199
barman,alcohol,0,0.0
angels,religion,11,0.02736318407960199
kissed,love,11,0.02736318407960199
bars,alcohol,12,0.029850746268656716
150,vehicle,2,0.004975124378109453
f150,vehicle,1,0.0024875621890547263
ford,vehicle,5,0.012437810945273632
chevy,vehicle,6,0.014925373134328358
dodge,vehicle,1,0.0024875621890547263
silverado,vehicle,2,0.004975124378109453
alabama,locations,7,0.017412935323383085
alaska,locations,0,0.0
arizona,locations,1,0.0024875621890547263
arkansas,locations,0,0.0
california,locations,9,0.022388059701492536
colorado,locations,3,0.007462686567164179
connecticut,locations,0,0.0
delaware,locations,0,0.0
florida,locations,0,0.0
georgia,locations,7,0.017412935323383085
hawaii,locations,0,0.0
idaho,locations,0,0.0
illinois,locations,0,0.0
indiana,locations,0,0.0
iowa,locations,0,0.0
kansas,locations,0,0.0
kentucky,locations,4,0.009950248756218905
louisiana,locations,0,0.0
maine,locations,0,0.0
maryland,locations,0,0.0
massachusetts,locations,0,0.0
michigan,locations,0,0.0
minnesota,locations,0,0.0
mississippi,locations,2,0.004975124378109453
missouri,locations,0,0.0
montana,locations,1,0.0024875621890547263
nebraska,locations,0,0.0
nevada,locations,0,0.0
hampshire,locations,0,0.0
jersey,locations,0,0.0
mexico,locations,3,0.007462686567164179
york,locations,5,0.012437810945273632
carolina,locations,6,0.014925373134328358
dakota,locations,0,0.0
ohio,locations,0,0.0
oklahoma,locations,1,0.0024875621890547263
oregon,locations,0,0.0
pennsylvania,locations,0,0.0
rhode,locations,0,0.0
tennessee,locations,16,0.03980099502487562
texas,locations,4,0.009950248756218905
utah,locations,0,0.0
vermont,locations,0,0.0
virginia,locations,1,0.0024875621890547263
washington,locations,0,0.0
wisconsin,locations,0,0.0
wyoming,locations,0,0.0
prayer,religion,6,0.014925373134328358
prayers,religion,6,0.014925373134328358
prays,religion,1,0.0024875621890547263
lord,religion,26,0.06467661691542288
eye,body parts,8,0.01990049751243781
heavens,religion,5,0.012437810945273632
halo,religion,3,0.007462686567164179
jesus,religion,7,0.017412935323383085
coors,alcohol,0,0.0
sippin,alcohol,15,0.03731343283582089
sipping,alcohol,2,0.004975124378109453
