word,parent,count,portion
cat_love,cat_love,66,0.9166666666666666
cat_country,cat_country,19,0.2638888888888889
cat_curse,cat_curse,18,0.25
cat_body parts,cat_body parts,38,0.5277777777777778
cat_music,cat_music,26,0.3611111111111111
cat_alcohol,cat_alcohol,37,0.5138888888888888
cat_religion,cat_religion,21,0.2916666666666667
cat_vehicle,cat_vehicle,19,0.2638888888888889
cat_locations,cat_locations,6,0.08333333333333333
cat_clothes,cat_clothes,23,0.3194444444444444
love,love,35,0.4861111111111111
diamond,love,3,0.041666666666666664
mood,love,1,0.013888888888888888
baby,love,23,0.3194444444444444
babe,love,5,0.06944444444444445
heart,love,25,0.3472222222222222
crush,love,1,0.013888888888888888
country,country,1,0.013888888888888888
hell,curse,14,0.19444444444444445
town,country,10,0.1388888888888889
eyes,body parts,13,0.18055555555555555
song,music,8,0.1111111111111111
whiskey,alcohol,9,0.125
whisky,alcohol,0,0.0
kiss,love,10,0.1388888888888889
beer,alcohol,4,0.05555555555555555
god,religion,5,0.06944444444444445
sunday,religion,1,0.013888888888888888
drinkin,alcohol,3,0.041666666666666664
road,country,8,0.1111111111111111
drink,alcohol,11,0.1527777777777778
bar,alcohol,11,0.1527777777777778
honky,alcohol,0,0.0
sixer,alcohol,0,0.0
truck,vehicle,4,0.05555555555555555
drive,vehicle,6,0.08333333333333333
drivin,vehicle,1,0.013888888888888888
driving,vehicle,2,0.027777777777777776
trucks,vehicle,0,0.0
car,vehicle,7,0.09722222222222222
cars,vehicle,1,0.013888888888888888
damn,curse,5,0.06944444444444445
heaven,religion,2,0.027777777777777776
party,alcohol,5,0.06944444444444445
dance,love,6,0.08333333333333333
church,religion,4,0.05555555555555555
lips,body parts,4,0.05555555555555555
bottle,alcohol,5,0.06944444444444445
neon,alcohol,4,0.05555555555555555
wine,alcohol,5,0.06944444444444445
hallelujah,religion,1,0.013888888888888888
loved,love,1,0.013888888888888888
tequila,alcohol,3,0.041666666666666664
shot,alcohol,2,0.027777777777777776
mercy,religion,1,0.013888888888888888
hearts,love,5,0.06944444444444445
hands,body parts,4,0.05555555555555555
feet,body parts,2,0.027777777777777776
heartbreak,love,2,0.027777777777777776
praise,religion,0,0.0
hometown,country,3,0.041666666666666664
cowboy,country,1,0.013888888888888888
cowboys,country,1,0.013888888888888888
amen,religion,0,0.0
amens,religion,0,0.0
faith,religion,2,0.027777777777777776
drinking,alcohol,4,0.05555555555555555
drunk,alcohol,10,0.1388888888888889
beers,alcohol,1,0.013888888888888888
buzz,alcohol,1,0.013888888888888888
sip,alcohol,3,0.041666666666666664
drinks,alcohol,3,0.041666666666666664
lovin,love,1,0.013888888888888888
loving,love,3,0.041666666666666664
huntin,love,0,0.0
hunting,love,0,0.0
fishin,love,1,0.013888888888888888
fishing,love,0,0.0
knees,body parts,3,0.041666666666666664
hand,body parts,6,0.08333333333333333
train,vehicle,1,0.013888888888888888
barman,alcohol,0,0.0
angels,religion,2,0.027777777777777776
kissed,love,2,0.027777777777777776
bars,alcohol,0,0.0
150,vehicle,0,0.0
f150,vehicle,0,0.0
ford,vehicle,1,0.013888888888888888
chevy,vehicle,1,0.013888888888888888
dodge,vehicle,0,0.0
silverado,vehicle,0,0.0
alabama,locations,0,0.0
alaska,locations,0,0.0
arizona,locations,0,0.0
arkansas,locations,0,0.0
california,locations,2,0.027777777777777776
colorado,locations,0,0.0
connecticut,locations,0,0.0
delaware,locations,0,0.0
florida,locations,0,0.0
georgia,locations,1,0.013888888888888888
hawaii,locations,0,0.0
idaho,locations,0,0.0
illinois,locations,0,0.0
indiana,locations,0,0.0
iowa,locations,0,0.0
kansas,locations,0,0.0
kentucky,locations,0,0.0
louisiana,locations,0,0.0
maine,locations,0,0.0
maryland,locations,0,0.0
massachusetts,locations,0,0.0
michigan,locations,0,0.0
minnesota,locations,0,0.0
mississippi,locations,0,0.0
missouri,locations,0,0.0
montana,locations,0,0.0
nebraska,locations,0,0.0
nevada,locations,0,0.0
hampshire,locations,0,0.0
jersey,locations,0,0.0
mexico,locations,0,0.0
york,locations,0,0.0
carolina,locations,0,0.0
dakota,locations,0,0.0
ohio,locations,0,0.0
oklahoma,locations,0,0.0
oregon,locations,0,0.0
pennsylvania,locations,0,0.0
rhode,locations,0,0.0
tennessee,locations,4,0.05555555555555555
texas,locations,0,0.0
utah,locations,0,0.0
vermont,locations,0,0.0
virginia,locations,0,0.0
washington,locations,0,0.0
wisconsin,locations,0,0.0
wyoming,locations,0,0.0
prayer,religion,1,0.013888888888888888
prayers,religion,0,0.0
prays,religion,0,0.0
lord,religion,2,0.027777777777777776
eye,body parts,3,0.041666666666666664
heavens,religion,1,0.013888888888888888
halo,religion,1,0.013888888888888888
jesus,religion,1,0.013888888888888888
coors,alcohol,0,0.0
sippin,alcohol,3,0.041666666666666664
sipping,alcohol,1,0.013888888888888888
jack,alcohol,1,0.013888888888888888
halos,religion,1,0.013888888888888888
county,locations,0,0.0
knoxville,locations,2,0.027777777777777776
songs,music,3,0.041666666666666664
george,music,1,0.013888888888888888
band,music,1,0.013888888888888888
singing,music,5,0.06944444444444445
sing,music,4,0.05555555555555555
kenny,music,0,0.0
radio,music,0,0.0
strait,music,1,0.013888888888888888
brooks,music,0,0.0
music,music,3,0.041666666666666664
rock,music,3,0.041666666666666664
chesney,music,0,0.0
mcgraw,music,0,0.0
johnny,music,0,0.0
guitar,music,0,0.0
keith,music,0,0.0
hank,music,1,0.013888888888888888
morgan,music,1,0.013888888888888888
dancin,music,3,0.041666666666666664
cash,music,1,0.013888888888888888
dancing,music,5,0.06944444444444445
willie,music,0,0.0
garth,music,0,0.0
jones,music,0,0.0
haggard,music,0,0.0
jukebox,music,1,0.013888888888888888
merle,music,0,0.0
nelson,music,0,0.0
pickup,vehicle,2,0.027777777777777776
tacoma,vehicle,1,0.013888888888888888
chevrolet,vehicle,0,0.0
tailgate,vehicle,0,0.0
takoma,vehicle,0,0.0
montero,vehicle,1,0.013888888888888888
harley,vehicle,0,0.0
jeans,clothes,2,0.027777777777777776
cutoffs,clothes,0,0.0
jean,clothes,1,0.013888888888888888
shirt,clothes,6,0.08333333333333333
hat,clothes,2,0.027777777777777776
shoe,clothes,1,0.013888888888888888
shoes,clothes,3,0.041666666666666664
dress,clothes,9,0.125
boots,clothes,1,0.013888888888888888
bourbon,alcohol,0,0.0
bottles,alcohol,1,0.013888888888888888
packs,alcohol,0,0.0
rum,alcohol,0,0.0
shots,alcohol,0,0.0
margarita,alcohol,0,0.0
cocktail,alcohol,0,0.0
alcohol,alcohol,2,0.027777777777777776
hair,body parts,7,0.09722222222222222
mouth,body parts,1,0.013888888888888888
chest,body parts,1,0.013888888888888888
finger,body parts,0,0.0
ears,body parts,1,0.013888888888888888
hips,body parts,3,0.041666666666666664
legs,body parts,0,0.0
body,body parts,4,0.05555555555555555
