artist,lyrics,song_name,gender,POC
Aaron Lewis,1,1,1,1
Aaron Watson,1,1,1,1
Ashley McBryde,2,2,2,2
Avery Anna,1,1,1,1
BRELAND,1,1,1,1
BRELAND Featuring Thomas Rhett,1,1,1,1
Bailey Zimmerman,3,3,3,3
Bebe Rexha & Florida Georgia Line,1,1,1,1
Blake Shelton,6,6,6,6
Blake Shelton Duet With Gwen Stefani,1,1,1,1
Blake Shelton Featuring Gwen Stefani,1,1,1,1
Blake Shelton Featuring Trace Adkins,1,1,1,1
Blanco Brown,1,1,1,1
Brad Paisley,1,1,1,1
Brantley Gilbert,1,1,1,1
Brantley Gilbert + Lindsay Ell,1,1,1,1
Brett Eldredge,2,2,2,2
Brett Young,5,5,5,5
Brothers Osborne,2,2,2,2
Carly Pearce,4,4,4,4
Carly Pearce & Ashley McBryde,1,1,1,1
Carly Pearce & Lee Brice,1,1,1,1
Carrie Underwood,6,6,6,6
Carrie Underwood & John Legend,1,1,1,1
Chase Rice,3,3,3,3
Chase Rice Featuring Florida Georgia Line,1,1,1,1
Chris Janson,3,3,3,3
Chris Lane,2,2,2,2
Chris Lane Featuring Tori Kelly,1,1,1,1
Chris Stapleton,6,6,6,6
Chris Tomlin Featuring Lady A,1,1,1,1
Chris Young,4,4,4,4
Chris Young + Kane Brown,1,1,1,1
Chris Young With Mitchell Tenpenny,1,1,1,1
Cody Johnson,2,2,2,2
Cole Swindell,4,4,4,4
Cole Swindell / Lainey Wilson,1,1,1,1
Corey Kent,1,1,1,1
Dan + Shay,8,8,8,8
Dan + Shay & Justin Bieber,1,1,1,1
Darius Rucker,2,2,2,2
David Lee Murphy & Kenny Chesney,1,1,1,1
Dax,1,1,1,1
Devin Dawson,1,1,1,1
Dierks Bentley,3,3,3,3
Dierks Bentley Featuring Brothers Osborne,1,1,1,1
"Dierks Bentley, BRELAND & HARDY",1,1,1,1
Diplo Presents Thomas Wesley Featuring Morgan Wallen,1,1,1,1
Drew Green,1,1,1,1
Dustin Lynch,5,5,5,5
Dylan Scott,5,5,5,5
ERNEST Featuring Morgan Wallen,1,1,1,1
Easton Corbin,1,1,1,1
Eli Young Band,1,1,1,1
Elle King & Miranda Lambert,1,1,1,1
Elvie Shane,1,1,1,1
Eric Church,7,7,7,7
Florida Georgia Line,5,5,5,5
Gabby Barrett,3,3,3,3
Garth Brooks,3,3,3,3
Garth Brooks & Blake Shelton,1,1,1,1
Garth Brooks & Trisha Yearwood,1,1,1,1
George Strait,1,1,1,1
Gone West,1,1,1,1
Granger Smith,1,1,1,1
HARDY,2,2,2,2
HARDY Featuring Lainey Wilson,1,1,1,1
HARDY Featuring Lauren Alaina & Devin Dawson,1,1,1,1
Hailey Whitters,1,1,1,1
High Valley,1,1,1,1
Ingrid Andress,2,2,2,2
Ingrid Andress With Sam Hunt,1,1,1,1
Jackson Dean,1,1,1,1
Jake Owen,5,5,5,5
Jameson Rodgers,1,1,1,1
Jameson Rodgers Featuring Luke Combs,1,1,1,1
Jason Aldean,8,8,8,8
Jason Aldean & Carrie Underwood,1,1,1,1
Jason Aldean Featuring Miranda Lambert,1,1,1,1
Jelly Roll,1,1,1,1
Jimmie Allen,3,3,3,3
Jimmie Allen & Brad Paisley,1,1,1,1
Jon Pardi,6,6,6,6
Jordan Davis,5,5,5,5
Jordan Davis Featuring Luke Bryan,1,1,1,1
Justin Moore,5,5,5,5
Kacey Musgraves,1,1,1,1
Kane Brown,9,9,9,9
Kane Brown Featuring Lauren Alaina,1,1,1,1
Kane Brown With Katelyn Brown,1,1,1,1
Kane Brown X blackbear,1,1,1,1
Keith Urban,5,5,5,5
Keith Urban Duet With P!nk,1,1,1,1
Keith Urban Featuring Julia Michaels,1,1,1,1
Kelly Clarkson & Brett Eldredge,1,1,1,1
Kelsea Ballerini,6,6,6,6
Kelsea Ballerini & LANY,1,1,1,1
Kelsea Ballerini Featuring Kenny Chesney,1,1,1,1
Kelsea Ballerini x Halsey,1,1,1,1
Kenny Chesney,5,5,5,5
Kip Moore,2,2,2,2
LANCO,2,2,2,2
LOCASH,1,1,1,1
Lady A,2,2,2,2
Lady Antebellum,2,2,2,2
Lainey Wilson,2,2,2,2
Lauren Alaina,2,2,2,2
Lee Brice,5,5,5,5
Lindsay Ell,1,1,1,1
Little Big Town,2,2,2,2
Luke Bryan,11,11,11,11
Luke Combs,16,16,16,16
Luke Combs Featuring Eric Church,1,1,1,1
Maddie & Tae,1,1,1,1
Maren Morris,6,6,6,6
Marshmello & Kane Brown,1,1,1,1
Mason Ramsey,1,1,1,1
Matt Stell,2,2,2,2
Megan Moroney,1,1,1,1
Michael Ray,4,4,4,4
Midland,4,4,4,4
