artist,lyrics,song_name,gender,POC
Morgan Wallen,"Wasted on You Lyrics[Verse 1]
I don't always wake up in the mornin'
Pour myself a strong one
Although when I get lonely I do
Your memory gets burnin'
Lean back on the bourbon
Sure as hell can't keep leanin' on you

[Pre-Chorus]
Looks like I'm learnin' the hard way again
It's all my fault
Yeah, I dropped the ball
You're gone and I'm gone three sheets to the wind
Thinkin' 'bout all I've wasted on you
[Chorus]
All of this time and all of this money
All of the these sorries I don't owe you honey
All of these miles on this Chevy, and prayers in a pew
All them days I spent, wasted on you
Wasted on you

[Verse 2]
Yeah, I swore this one'd be different
My heart wouldn't listen to my head and these boots on my feet
Looks like I'm learning the hard way again
That's why I've been wasted on you

[Chorus]
All of this time and all of this money
All these sorries I don't owe you, honey
All of these miles on this Chevy and prayers in a pew
All them days I spent, wasted on you
Wasted on you

[Bridge]
Like this pile of your stuff that's packed up in the back
Right down to the flame of this match
Wasted on you, wasted on you
Wasted on you, wasted on you
Wasted on you
See Morgan Wallen LiveGet tickets as low as $59You might also like[Chorus]
All of this time and all of this money
All these sorries I don't owe you, honey
All of these miles on this Chevy and prayers in a pew
All them days I spent, wasted on you
Wasted on you

[Outro]
Wasted on you, wasted on you16Embed",Wasted On You,M,N
Morgan Wallen,"You Proof Lyrics[Verse 1]
Yeah, I've been throwin' down the whiskey
I ought to get my money back
Someone said it drowns the memory
Aw, but it ain't doin' jack
Yeah, I've been sippin', I've been buzzin'
Shootin' doubles like it's nothin'
Aw, but nothin' makes you go away

[Chorus]
I need something ""You proof""
Something stronger than I'm used to
Yeah, I've been pullin' 90 to 100
Feel like nothing's gonna cut it, that's the hard truth
Yeah, I need something ""You proof""
Aw, I need something ""You proof""
[Verse 2]
Poured 'em up 'til they're shutting 'em down, yeah
You never ain't not around, yeah
Don't matter what time or town, I can't get you gone
Turned the bar, yeah, upside down
Just lookin' for somethin' that does it
I'd give up all my money

[Chorus]
Ain't nobody sellin' nothin' ""You proof""
Something stronger than I'm used to
Yeah, I've been pullin' 90 to 100
Feel like nothing's gonna cut it, that's the hard truth
Yeah, I need something ""You proof""
Aw, I need something ""You proof""

[Bridge]
Hey, I've been mixing liquors tryin' to get you gone
Aw, but I must be doing somethin' wrong
'Cause I've been working hard to fade your memory
Baby, but the only thing faded is me

[Chorus]
I need something ""You proof""
Something stronger than I'm used to
Yeah, I've been pullin' 90 to 100
Feel like nothing's gonna cut it, that's the hard truth
I need something ""You proof"" (Poured 'em up 'til they're shutting 'em down, yeah)
Aw, I need something ""You proof"" (You never ain't not around, yeah)
See Morgan Wallen LiveGet tickets as low as $59You might also like[Outro]
Don't matter what time or town, I can't get you gone
Turned the bar, yeah, upside down
Just lookin' for somethin' that does it
I'd give up all my money
Ain't nobody sellin' nothin' ""You proof""3Embed",You Proof,M,N
Morgan Wallen,"Sand in My Boots Lyrics[Verse 1]
She asked me where I's from
I said ""Somewhere you've never been to
Little town outside of Knoxville""
Hiddin' by some dogwood trees
She tried talkin' with my accent
We held hands and waded into
That blue water
She left her flip-flops by my Red Wings on the beach

[Chorus]
Yeah, but now I'm dodging potholes in my sunburnt Silverado
Like a heart-broke Desperado, headin' right back to my roots
Somethin' 'bout the way she kissed mе tells me she'd lovе Eastern Tennessee
Yeah, but all I brought back with me was some sand in my boots
[Verse 2]
I said ""Let's go shoot tequila""
So we walked back to that beach bar
She said ""Don't cowboys drink whiskey?"" (Huh)
So we drank bottom shelf
She said ""Damn, that sky looks perfect""
I said ""Girl, you've never seen stars like the ones back home""
And she said ""Maybe I should, see 'em for myself""

[Chorus]
Yeah, but now I'm dodging potholes in my sunburnt Silverado
Like a heart-broke Desperado, headin' right back to my roots
Somethin' 'bout the way she kissed me tells me she'd love Eastern Tennessee
Yeah, but all I brought back with me was some sand in my boots

[Bridge]
I said ""Meet me in the mornin'""
And she told me I was crazy
Yeah, but I still thought that maybe she'd show up

[Chorus]
Aw, but now I'm dodging potholes in my sunburnt Silverado
Like a heart-broke Desperado, headin' right back to my roots
Somethin' 'bout the way she kissed me tells me she'd love Eastern Tennessee
Yeah, but all I brought back with me was some sand in my boots
Yeah, but all I brought back with me was some sand in my bootsSee Morgan Wallen LiveGet tickets as low as $59You might also like8Embed",Sand In My Boots,M,N
Morgan Wallen,"Thought You Should Know Lyrics[Verse 1]
What's goin' on, Mama?
Something just dawned on me
I ain't been home in some months
Been chasin' songs and women
Makin' some bad decisions
God knows I'm drinkin' too much
Yeah, I know you've been worrying 'bout me
You've been losing sleep since '93

[Chorus]
I thought you should know
That all those prayers you thought you wasted on me
Must've finally made their way on through
I thought you should know
I got me a new girl down in Jefferson City, and
She lets me fish whenever I want to
Yeah, I'm still proud of where I came from
Still your only damn son
Can you believe I'm on the radio?
Just thought you should know, thought you should know, thought you should know
[Verse 2]
Oh, by the way, Momma, didn't mean to ramble on ya
How's evеrything back at home?
Yeah, how's that garden comin'?
Is dad still doing dumb shit?
And how'd hе keep you this long?
Yeah, I'm sorry that I called you so late
I just miss you but anyways

[Chorus]
I thought you should know
That all those prayers you thought you wasted on me
Must've finally made their way on through
I thought you should know
I got me a new girl down in Jefferson City, and
She lets me fish whenever I want to
Yeah, I'm still proud of where I came from
Still your only damn son
Can you believe I'm on the radio?
Just thought you should know, thought you should know, thought you should know
Yeah, I know you've been worrying 'bout me
You've been losing sleep since '93
I thought you should know
That all those prayers you thought you wasted on me
Must've finally made their way on through
See Morgan Wallen LiveGet tickets as low as $59You might also like[Chorus]
I thought you should know
That I really like this girl down in Jefferson City, and
It turns out she's a lot like you
Yeah, I'm still proud of where I came from
Still your only damn son
The bus is leavin' so I gotta roll
Just thought you should know, thought you should know, thought you should know
I thought you should know, thought you should know
I thought you should know, thought you should know, thought you should know3Embed",Thought You Should Know,M,N
Morgan Wallen,"Don’t Think Jesus Lyrics[Verse 1]
Boy gets a guitar and starts writin' songs
'Bout whiskey and women and gettin' too stoned
He got all three at the first show he played
Hometown said, ""I don't think Jesus done it that way""

[Verse 2]
Boy moves to city, lives fast and goes hard
Starts chasin' the devil through honky-tonk bars
Ignorin' the voices in his head that say
""I don't think Jesus done it this way""
[Chorus]
If I was Him I'd say, ""To hell with you, ain't no helpin' you”
Find someone else to give Heaven to, I'm tellin' you
I'd shame me, I'd blame me, I'd make me pay for my mistakes
But I don't think Jesus does it that way

[Verse 2]
Boy's all alone, got no one to turn to
He figures he'll pray 'cause what else could he do?
He said, ""I wish You would've woke me up an easier way""
But I don't think Jesus does it that way

[Chorus]
If I was Him I'd say, ""To hell with you, ain't no helpin' you”
Find someone else to give Heaven to, I'm tellin' you
I'd shame me, I'd blame me, I'd make me pay for my mistakes
But I don't think Jesus does it that way

[Verse 3]
World likes to rear back and throw a few stones
So boy wants to throw a few stones of his own
But Lord knows I ain't perfect, and it ain't my place
And I don't think Jesus done it that way

[Outro]
Are y'all sure that Jesus done it that way?See Morgan Wallen LiveGet tickets as low as $59You might also like4Embed",Don't Think Jesus,M,N
Morgan Wallen,"More Than My Hometown Lyrics[Verse 1]
Girl, our mamas are best friends and so are we
The whole town's rooting for us like the home team
Most likely to settle down
Plant a few roots real deep and let 'em grow
But we can't stop this real world from spinnin' us
Your bright lights called, I don't blame you for pickin' up
Your big dream bags are all packed up and ready to go
But I just need you to know

[Chorus]
That I love you more than a California sunset
More than a beer when you ain't twenty-one yet
More than a Sunday morning Lord
Turnin' some poor lost souls 'round, and Hallelujah bound
Yeah, I love you more than the feeling when the bass hits the hook
When the guy gets the girl at the end of the book
But, baby, this might be the last time I get to lay you down
'Cause I can't love you more than my hometown
[Verse 2]
I ain't the runaway kind, I can't change that
My heart's stuck in these streets like the train tracks
City sky ain't the same black
Ain't that a map dot shame, man, to think that

[Chorus]
I love you more than a California sunset
More than a beer when you ain't twenty-one yet
More than a Sunday morning Lord
Turnin' some poor lost souls around, and Hallelujah bound
Yeah, I love you more than the feeling when the bass hits the hook
When the guy gets the girl at the end of the book
But, baby, this might be the last time I get to lay you down
'Cause I can't love you more than my hometown

[Bridge]
Yeah, you got a wild in your eyes that I just wasn't born with
I'm a same gas station cup of coffee in the mornin'
I need a house on the hill, girl, not in 'em
So hang onto these words 'til them avenues help you forget 'em

[Chorus]
'Cause I love you more than a California sunset
I love you more in a twenty-dollar sundress
Hate that loaded down car you got your keys in
Girl, but I hate even more that you're leavin'
'Cause I love you more than the feeling when the bass hits the hook
When the guy gets the girl at the end of the book
But that ain't you and me so I guess I'll see you around
'Cause I can't love you more than my hometown
See Morgan Wallen LiveGet tickets as low as $59You might also like[Outro]
Love you more than my hometown
Love you more than my hometown
Love you more, baby, love you more2Embed",More Than My Hometown,M,N
Morgan Wallen,"Somebody’s Problem Lyrics[Verse 1]
A 'Bama red 4Runner pulled into the party
With a 30-A sticker on the back windshield
Two-tone tank top slippin' off her shoulder
Kinda girl when she steps out, the world stands still

[Pre-Chorus]
Ooh, I know where this is goin'
I already know it

[Chorus]
She's somebody's problem, somebody's goodbye
Somebody's last call number that they can't find
Somebody's best day, somebody's worst night
Somebody's reason for leavin' on the porch light
Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd
Love to drown in them heartbreaker blue eyes
Shе's somebody's problem and somebody's problеm's
About to be mine
About to be mine
[Verse 2]
Kinda girl once you've had her, you can't stand to lose her
Kinda girl where your friends tell you don't F it up
Kinda girl that goes from tryin' to just to get her number
To slidin' through the summer to talkin' 'bout love

[Pre-Chorus]
Ooh, I think I'm likin' where it's goin'
I'd like to try me some of

[Chorus]
Somebody's problem, somebody's goodbye
Somebody's last call number that they can't find
Somebody's best day, somebody's worst night
Somebody's reason for leavin' on the porch light
Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd
Love to drown in them heartbreaker blue eyes
She's somebody's problem and somebody's problem's
About to be mine
About to be mine

[Bridge]
Oh, hey baby, don't just keep me wishin'
Oh, let me get to fixin'

[Chorus]
Somebody's problem, somebody's goodbye
Somebody's last call number that they can't find
Somebody's best day, somebody's worst night
Somebody's reason for leavin' on the porch light
Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd
Love to drown in them heartbreaker blue eyes
She's somebody's problem and somebody's problem's
About to be mine
About to be mine
About to be mine
About to be mineSee Morgan Wallen LiveGet tickets as low as $59You might also like3Embed",Somebody's Problem,M,N
Morgan Wallen,"TranslationsEspañol7 Summers Lyrics[Verse 1]
Yeah, you used to talk about
Getting even further South
Somewhere where the summer lasted all year 'round
Probably got a big ol' diamond on your hand right now
Maybe a baby or a couple by now
Long driveway to a big white house

[Chorus]
But I wonder when you're drinking if you
Find yourself thinking about
That boy from East Tennessee
And I know we both knew better
But we still said forever
And that was seven summers
Of Coke and Southern Comfort
Were we dumb or just younger, who knows?
Back then, you used to love the river
And sippin' on a sixer with me
Does it ever make you sad to know
That was seven summers ago?
[Post-Chorus]
Ooh, ooh-ooh, ooh-ooh

[Verse 2]
Yeah, I bet your daddy's so proud
Of how his little girl turned out
Think she dodged a bullet
Of a good old boy like me
'Cause I still
Go drinkin', same friends on Friday
Bought a few acres, couple roads off the highway
Guess you never saw things my way anyway

[Chorus]
But I wonder when you're drinking if you
Find yourself thinking about
That boy from East Tennessee
And I know we both knew better
But we still said forever
And that was seven summers
Of Coke and Southern Comfort
Were we dumb or just younger, who knows?
Back then, you used to love the river
And sippin' on a sixer with me
Does it ever make you sad to know
That was seven summers ago?
See Morgan Wallen LiveGet tickets as low as $59You might also like[Post-Chorus]
Ooh
Seven summers ago (Ooh-ooh, ooh-ooh)
Seven summers ago (Ooh, ooh-ooh, ooh-ooh)

[Chorus]
Yeah, I wonder when you're drinking if you
Find yourself thinking about
That boy from East Tennessee
And I know we both knew better
But we still said forever
And that was seven summers
Of Coke and Southern Comfort
Were we dumb or just younger, who knows?
Back then, you used to love the river
And sippin' on a sixer with me
Does it ever make you sad to know
That was seven summers ago?

[Post-Chorus]
Ooh
Seven summers ago (Ooh-ooh, ooh-ooh)
Seven summers ago (Ooh, ooh-ooh)10Embed",7 Summers,M,N
Morgan Wallen,"Still Goin Down Lyrics[Verse 1]
The way I talk, I guess I got it from my pops
Product of some kneelin' down
In a town where the doors don't lock
And there's a million other people like me
From a scene a little more podunk than pop
I didn't choose being born in the sticks
And I'll be damned if I sound like something I ain't
For some folks, a backroad gets old
But for me, it just can't
[Chorus]
'Cause I'm from a small town, southern drawl crowd
We're sippin' clear, drinkin' beer on a Friday night
Every country girl got on her cutoffs
Shakin' her hips, take a trip, buddy tell me I'm a liar
Still circle up big trucks around a fire
Still kickin' up some dust behind the tires
Call it cliché, but hey, just take it from me
It's still goin' down out in the country

[Verse 2]
Somewhere now, someone's out there
Sippin' on some hundred proof
Every day, a baby's born with some baby blues
A good ol' boy's got on his faded boots
Workin' a nine to five
I'm just another southern hell raiser
Ain't breakin' ground
Makin' sound for them drop-it-down tailgaters
But y'all, that's all I know to say
So if you think I'm full of it, ain't done it, check the resume

[Chorus]
'Cause I'm from a small town, southern drawl crowd
We're sippin' clear, drinkin' beer on a Friday night
Every country girl got on her cutoffs
Shakin' her hips, take a trip, buddy tell me I'm a liar
Still circle up big trucks around a fire
Still kickin' up some dust behind the tires
Call it cliché, but hey, just take it from me
It's still goin' down out in the country
See Morgan Wallen LiveGet tickets as low as $59You might also like[Chorus]
'Cause I'm from a small town, southern drawl crowd
We're sippin' clear, drinkin' beer on a Friday night
Every country girl got on her cutoffs
Shakin' her hips, take a trip, buddy tell me I'm a liar
Still circle up big trucks around a fire
Still kickin' up some dust behind the tires
Call it cliché, but hey, just take it from me
It's still goin' down out in the country5Embed",Still Goin Down,M,N
Morgan Wallen,"865 Lyrics[Verse 1]
Jack D, there's a seven on the label
One glass on the living room table
Phone face down, Church up loud
Was tryna drown you out tonight
But first sip, I could feel you on my shoulder
The Tennessee heat had me feelin' colder
Thought a drink would get you off my mind

[Chorus]
But this bottle tastes like 865-409-1021
Yeah, one last time, don't think twice
Girl, just pick it up and come over
Give the bedroom door a little closure
I know I told you I wouldn't call and I tried
But this bottle tastes like 865 (409-1021)
This bottle tastes like 865 (409-1021)
[Verse 2]
You might think I don't really want you with me
You might tell me to empty out my whiskey
Or try changin' what I'm holdin' in my hand
Try another liquor, try another brand
But it don't matter if I got my lips on a different drink on a different night
Yeah, the second that I take a sip all I'm gonna think

[Chorus]
Is this bottle tastes like 865-409-1021
Yeah, one last time, don't think twice
Girl, just pick it up and come over
Give the bedroom door a little closure
I know I told you I wouldn't call and I tried
But this bottle tastes like 865 (409-1021)
This bottle tastes like 865 (409-1021)

[Bridge]
Thought a drink would get you off my mind
I ain't sayin' I love you, but I might

[Chorus]
'Cause this bottle tastes like 865-409-1021
Yeah, one last time, don't think twice
Girl, just pick it up and come over
Give the bedroom door a little closure
I know I told you I wouldn't call and I tried
But this bottle tastes like 865 (409-1021)
This bottle tastes like 865 (409-1021)
This bottle tastes like 865 (409-1021)
This bottle tastes like 865 (409-1021)See Morgan Wallen LiveGet tickets as low as $59You might also like2Embed",865,M,N
