song,artist
Wasted On You,Morgan Wallen
You Proof,Morgan Wallen
'Til You Can't,Cody Johnson
Fancy Like,Walker Hayes
The Kind Of Love We Make,Luke Combs
Something In The Orange,Zach Bryan
She Had Me At Heads Carolina,Cole Swindell
Fall In Love,Bailey Zimmerman
Buy Dirt,Jordan Davis Featuring Luke Bryan
AA,Walker Hayes
5 Foot 9,Tyler Hubbard
Doin' This,Luke Combs
Wishful Drinking,Ingrid Andress With Sam Hunt
If I Didn't Love You,Jason Aldean & Carrie Underwood
All Too Well (Taylor's Version),Taylor Swift
She Likes It,Russell Dickerson & Jake Scott
Rock And A Hard Place,Bailey Zimmerman
Son Of A Sinner,Jelly Roll
Take My Name,Parmalee
Pick Me Up,Gabby Barrett
Damn Strait,Scotty McCreery
Trouble With A Heartbreak,Jason Aldean
You Should Probably Leave,Chris Stapleton
Like I Love Country Music,Kane Brown
Circles Around This Town,Maren Morris
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Never Say Never,Cole Swindell / Lainey Wilson
Last Night Lonely,Jon Pardi
Beers On Me,"Dierks Bentley, BRELAND & HARDY"
Flower Shops,ERNEST Featuring Morgan Wallen
Sand In My Boots,Morgan Wallen
Slow Down Summer,Thomas Rhett
If I Was A Cowboy,Miranda Lambert
Whiskey On You,Nate Smith
Truth About You,Mitchell Tenpenny
Thought You Should Know,Morgan Wallen
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Heart On Fire,Eric Church
Wild As Her,Corey Kent
One Mississippi,Kane Brown
Ghost Story,Carrie Underwood
To Be Loved By You,Parker McCollum
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Joy Of My Life,Chris Stapleton
Soul,Lee Brice
23,Sam Hunt
What My World Spins Around,Jordan Davis
Don't Come Lookin',Jackson Dean
Give Heaven Some Hell,HARDY
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Best Thing Since Backroads,Jake Owen
Come Back As A Country Boy,Blake Shelton
7500 OBO,Tim McGraw
Freedom Was A Highway,Jimmie Allen & Brad Paisley
New Truck,Dylan Scott
With A Woman You Love,Justin Moore
At The End Of A Bar,Chris Young With Mitchell Tenpenny
Don't Think Jesus,Morgan Wallen
Whiskey And Rain,Michael Ray
Heartfirst,Kelsea Ballerini
Wild Hearts,Keith Urban
Half Of Me,Thomas Rhett Featuring Riley Green
Country On,Luke Bryan
Thank God,Kane Brown With Katelyn Brown
No Hard Feelings,Old Dominion
Cold As You,Luke Combs
Tomorrow Me,Luke Combs
Down Home,Jimmie Allen
I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton
Party Mode,Dustin Lynch
Home Sweet,Russell Dickerson
What He Didn't Do,Carly Pearce
Dear Alcohol,Dax
Wait In The Truck,HARDY Featuring Lainey Wilson
Out In The Middle,Zac Brown Band
Where It Ends,Bailey Zimmerman
Tequila Little Time,Jon Pardi
Praise The Lord,BRELAND Featuring Thomas Rhett
Chasing After You,Ryan Hurd With Maren Morris
Oklahoma Smoke Show,Zach Bryan
Wilder Days,Morgan Wade
Narcissist,Avery Anna
U Gurl,Walker Hayes
Hell Yeah,Little Big Town
Same Boat,Zac Brown Band
Leave You Alone,Kane Brown
Steal My Love,Dan + Shay
Y'all Life,Walker Hayes
Pick Out A Christmas Tree,Dan + Shay
Up,Luke Bryan
From Austin,Zach Bryan
That's What Tequila Does,Jason Aldean
Good Ol' Man,Drew Green
Cold,Chris Stapleton
Can't Have Mine,Dylan Scott
Tennessee Orange,Megan Moroney
Everything She Ain't,Hailey Whitters
Handle On You,Parker McCollum
Growing Old With You,Restless Road
Heart Like A Truck,Lainey Wilson
Forever After All,Luke Combs
Fancy Like,Walker Hayes
I Hope,Gabby Barrett
Better Together,Luke Combs
Famous Friends,Chris Young + Kane Brown
The Good Ones,Gabby Barrett
Chasing After You,Ryan Hurd With Maren Morris
Starting Over,Chris Stapleton
Lil Bit,Nelly & Florida Georgia Line
Glad You Exist,Dan + Shay
One Too Many,Keith Urban Duet With P!nk
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
What's Your Country Song,Thomas Rhett
Settling Down,Miranda Lambert
Sand In My Boots,Morgan Wallen
Hell Of A View,Eric Church
Things A Man Oughta Know,Lainey Wilson
Almost Maybes,Jordan Davis
Gone,Dierks Bentley
Good Time,Niko Moon
Wasted On You,Morgan Wallen
If I Didn't Love You,Jason Aldean & Carrie Underwood
Single Saturday Night,Cole Swindell
Breaking Up Was Easy In The 90's,Sam Hunt
